"","page","pathlength","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","1",112064,"",""
"2245","Zika and Sexual Transmission | Zika virus | CDC","5",613,"",""
"2246","Zika and Sexual Transmission | Zika virus | CDC","6",467,"",""
"2247","Zika and Sexual Transmission | Zika virus | CDC","7",403,"",""
"2248","Zika and Sexual Transmission | Zika virus | CDC","8",326,"",""
"2249","Zika and Sexual Transmission | Zika virus | CDC","9",249,"",""
"2250","Zika and Sexual Transmission | Zika virus | CDC","10",219,"",""
"2251","Zika and Sexual Transmission | Zika virus | CDC","11",203,"",""
"2252","Zika and Sexual Transmission | Zika virus | CDC","12",168,"",""
"2253","Zika and Sexual Transmission | Zika virus | CDC","13",159,"",""
"2254","Zika and Sexual Transmission | Zika virus | CDC","14",113,"",""
"2255","Zika and Sexual Transmission | Zika virus | CDC","16",104,"",""
"2256","Zika and Sexual Transmission | Zika virus | CDC","15",99,"",""
"2257","Zika and Sexual Transmission | Zika virus | CDC","17",83,"",""
"2258","Zika and Sexual Transmission | Zika virus | CDC","19",70,"",""
"2259","Zika and Sexual Transmission | Zika virus | CDC","18",58,"",""
"2260","Zika and Sexual Transmission | Zika virus | CDC","20",42,"",""
"2261","Zika and Sexual Transmission | Zika virus | CDC","24",41,"",""
"2262","Zika and Sexual Transmission | Zika virus | CDC","22",31,"",""
"2263","Zika and Sexual Transmission | Zika virus | CDC","21",31,"",""
"2264","Zika and Sexual Transmission | Zika virus | CDC","28",28,"",""
"2265","Zika and Sexual Transmission | Zika virus | CDC","27",27,"",""
"2266","Zika and Sexual Transmission | Zika virus | CDC","25",27,"",""
"2267","Zika and Sexual Transmission | Zika virus | CDC","26",26,"",""
"2268","Zika and Sexual Transmission | Zika virus | CDC","23",26,"",""
"2269","Zika and Sexual Transmission | Zika virus | CDC","31",23,"",""
"2270","Zika and Sexual Transmission | Zika virus | CDC","30",15,"",""
"2271","Zika and Sexual Transmission | Zika virus | CDC","32",13,"",""
"2272","Zika and Sexual Transmission | Zika virus | CDC","33",12,"",""
"2273","Zika and Sexual Transmission | Zika virus | CDC","29",12,"",""
"2274","Zika and Sexual Transmission | Zika virus | CDC","51",11,"",""
"2275","Zika and Sexual Transmission | Zika virus | CDC","37",11,"",""
"2276","Zika and Sexual Transmission | Zika virus | CDC","50",10,"",""
"2277","Zika and Sexual Transmission | Zika virus | CDC","40",10,"",""
"2278","Zika and Sexual Transmission | Zika virus | CDC","131",9,"",""
"2279","Zika and Sexual Transmission | Zika virus | CDC","59",8,"",""
"2280","Zika and Sexual Transmission | Zika virus | CDC","48",8,"",""
"2281","Zika and Sexual Transmission | Zika virus | CDC","44",7,"",""
"2282","Zika and Sexual Transmission | Zika virus | CDC","35",7,"",""
"2283","Zika and Sexual Transmission | Zika virus | CDC","108",6,"",""
"2284","Zika and Sexual Transmission | Zika virus | CDC","45",6,"",""
"2285","Zika and Sexual Transmission | Zika virus | CDC","42",6,"",""
"2286","Zika and Sexual Transmission | Zika virus | CDC","36",6,"",""
"2287","Zika and Sexual Transmission | Zika virus | CDC","34",6,"",""
"2288","Zika and Sexual Transmission | Zika virus | CDC","116",5,"",""
"2289","Zika and Sexual Transmission | Zika virus | CDC","53",5,"",""
"2290","Zika and Sexual Transmission | Zika virus | CDC","55",4,"",""
"2291","Zika and Sexual Transmission | Zika virus | CDC","121",3,"",""
"2292","Zika and Sexual Transmission | Zika virus | CDC","83",3,"",""
"2293","Zika and Sexual Transmission | Zika virus | CDC","54",3,"",""
"2294","Zika and Sexual Transmission | Zika virus | CDC","49",3,"",""
"2295","Zika and Sexual Transmission | Zika virus | CDC","47",3,"",""
"2296","Zika and Sexual Transmission | Zika virus | CDC","93",2,"",""
"2297","Zika and Sexual Transmission | Zika virus | CDC","86",2,"",""
"2298","Zika and Sexual Transmission | Zika virus | CDC","76",2,"",""
"2299","Zika and Sexual Transmission | Zika virus | CDC","75",2,"",""
"2300","Zika and Sexual Transmission | Zika virus | CDC","63",2,"",""
"2301","Zika and Sexual Transmission | Zika virus | CDC","46",2,"",""
"2302","Zika and Sexual Transmission | Zika virus | CDC","43",2,"",""
"2303","Zika and Sexual Transmission | Zika virus | CDC","41",2,"",""
"2304","Zika and Sexual Transmission | Zika virus | CDC","39",2,"",""
"2305","Zika and Sexual Transmission | Zika virus | CDC","38",2,"",""
"2306","Zika and Sexual Transmission | Zika virus | CDC","1434",1,"",""
"2307","Zika and Sexual Transmission | Zika virus | CDC","100",1,"",""
"2308","Zika and Sexual Transmission | Zika virus | CDC","97",1,"",""
"2309","Zika and Sexual Transmission | Zika virus | CDC","92",1,"",""
"2310","Zika and Sexual Transmission | Zika virus | CDC","90",1,"",""
"2311","Zika and Sexual Transmission | Zika virus | CDC","89",1,"",""
"2312","Zika and Sexual Transmission | Zika virus | CDC","68",1,"",""
"2313","Zika and Sexual Transmission | Zika virus | CDC","65",1,"",""
"2314","Zika and Sexual Transmission | Zika virus | CDC","62",1,"",""
"2315","Zika and Sexual Transmission | Zika virus | CDC","60",1,"",""
"2316","Zika and Sexual Transmission | Zika virus | CDC","58",1,"",""
"2317","Zika and Sexual Transmission | Zika virus | CDC","57",1,"",""
"2318","Zika and Sexual Transmission | Zika virus | CDC","52",1,"",""
"2319","Testing for Zika Virus | Zika virus | CDC","1",8433,"",""
"2320","Testing for Zika Virus | Zika virus | CDC","2",2218,"",""
"2321","Testing for Zika Virus | Zika virus | CDC","3",1400,"",""
"2322","Testing for Zika Virus | Zika virus | CDC","4",935,"",""
"2323","Testing for Zika Virus | Zika virus | CDC","5",740,"",""
"2324","Testing for Zika Virus | Zika virus | CDC","6",539,"",""
"2325","Testing for Zika Virus | Zika virus | CDC","7",427,"",""
"2326","Testing for Zika Virus | Zika virus | CDC","8",330,"",""
"2327","Testing for Zika Virus | Zika virus | CDC","9",313,"",""
"2328","Testing for Zika Virus | Zika virus | CDC","10",241,"",""
"2329","Testing for Zika Virus | Zika virus | CDC","11",206,"",""
"2330","Testing for Zika Virus | Zika virus | CDC","12",176,"",""
"2331","Testing for Zika Virus | Zika virus | CDC","13",115,"",""
"2332","Testing for Zika Virus | Zika virus | CDC","15",109,"",""
"2333","Testing for Zika Virus | Zika virus | CDC","14",107,"",""
"2334","Testing for Zika Virus | Zika virus | CDC","17",83,"",""
"2335","Testing for Zika Virus | Zika virus | CDC","16",77,"",""
"2336","Testing for Zika Virus | Zika virus | CDC","20",45,"",""
"2337","Testing for Zika Virus | Zika virus | CDC","18",45,"",""
"2338","Testing for Zika Virus | Zika virus | CDC","21",44,"",""
"2339","Testing for Zika Virus | Zika virus | CDC","23",38,"",""
"2340","Testing for Zika Virus | Zika virus | CDC","19",38,"",""
"2341","Testing for Zika Virus | Zika virus | CDC","22",36,"",""
"2342","Testing for Zika Virus | Zika virus | CDC","24",30,"",""
"2343","Testing for Zika Virus | Zika virus | CDC","27",24,"",""
"2344","Testing for Zika Virus | Zika virus | CDC","30",19,"",""
"2345","Testing for Zika Virus | Zika virus | CDC","31",18,"",""
"2346","Testing for Zika Virus | Zika virus | CDC","25",17,"",""
"2347","Testing for Zika Virus | Zika virus | CDC","29",16,"",""
"2348","Testing for Zika Virus | Zika virus | CDC","26",16,"",""
"2349","Testing for Zika Virus | Zika virus | CDC","35",15,"",""
"2350","Testing for Zika Virus | Zika virus | CDC","28",13,"",""
"2351","Testing for Zika Virus | Zika virus | CDC","33",8,"",""
"2352","Testing for Zika Virus | Zika virus | CDC","32",8,"",""
"2353","Testing for Zika Virus | Zika virus | CDC","58",7,"",""
"2354","Testing for Zika Virus | Zika virus | CDC","34",7,"",""
"2355","Testing for Zika Virus | Zika virus | CDC","53",5,"",""
"2356","Testing for Zika Virus | Zika virus | CDC","44",5,"",""
"2357","Testing for Zika Virus | Zika virus | CDC","39",5,"",""
"2358","Testing for Zika Virus | Zika virus | CDC","47",4,"",""
"2359","Testing for Zika Virus | Zika virus | CDC","42",4,"",""
"2360","Testing for Zika Virus | Zika virus | CDC","36",4,"",""
"2361","Testing for Zika Virus | Zika virus | CDC","1434",3,"",""
"2362","Testing for Zika Virus | Zika virus | CDC","100",3,"",""
"2363","Testing for Zika Virus | Zika virus | CDC","59",3,"",""
"2364","Testing for Zika Virus | Zika virus | CDC","82",2,"",""
"2365","Testing for Zika Virus | Zika virus | CDC","55",2,"",""
"2366","Testing for Zika Virus | Zika virus | CDC","48",2,"",""
"2367","Testing for Zika Virus | Zika virus | CDC","45",2,"",""
"2368","Testing for Zika Virus | Zika virus | CDC","93",1,"",""
"2369","Testing for Zika Virus | Zika virus | CDC","90",1,"",""
"2370","Testing for Zika Virus | Zika virus | CDC","83",1,"",""
"2371","Testing for Zika Virus | Zika virus | CDC","81",1,"",""
"2372","Testing for Zika Virus | Zika virus | CDC","62",1,"",""
"2373","Testing for Zika Virus | Zika virus | CDC","50",1,"",""
"2374","Testing for Zika Virus | Zika virus | CDC","43",1,"",""
"2375","Testing for Zika Virus | Zika virus | CDC","41",1,"",""
"2376","Testing for Zika Virus | Zika virus | CDC","38",1,"",""
"2377","Testing for Zika Virus | Zika virus | CDC","37",1,"",""
"2378","What You Need to Know | Zika virus | CDC","1",4845,"",""
"2379","What You Need to Know | Zika virus | CDC","5",1071,"",""
"2380","What You Need to Know | Zika virus | CDC","3",1011,"",""
"2381","What You Need to Know | Zika virus | CDC","7",886,"",""
"2382","What You Need to Know | Zika virus | CDC","4",885,"",""
"2383","What You Need to Know | Zika virus | CDC","6",838,"",""
"2384","What You Need to Know | Zika virus | CDC","2",816,"",""
"2385","What You Need to Know | Zika virus | CDC","9",668,"",""
"2386","What You Need to Know | Zika virus | CDC","8",659,"",""
"2387","What You Need to Know | Zika virus | CDC","11",524,"",""
"2388","What You Need to Know | Zika virus | CDC","10",473,"",""
"2389","What You Need to Know | Zika virus | CDC","12",378,"",""
"2390","What You Need to Know | Zika virus | CDC","13",362,"",""
"2391","What You Need to Know | Zika virus | CDC","14",282,"",""
"2392","What You Need to Know | Zika virus | CDC","15",251,"",""
"2393","What You Need to Know | Zika virus | CDC","16",197,"",""
"2394","What You Need to Know | Zika virus | CDC","17",152,"",""
"2395","What You Need to Know | Zika virus | CDC","19",144,"",""
"2396","What You Need to Know | Zika virus | CDC","18",119,"",""
"2397","What You Need to Know | Zika virus | CDC","21",113,"",""
"2398","What You Need to Know | Zika virus | CDC","20",88,"",""
"2399","What You Need to Know | Zika virus | CDC","23",86,"",""
"2400","What You Need to Know | Zika virus | CDC","22",85,"",""
"2401","What You Need to Know | Zika virus | CDC","25",72,"",""
"2402","What You Need to Know | Zika virus | CDC","24",62,"",""
"2403","What You Need to Know | Zika virus | CDC","28",51,"",""
"2404","What You Need to Know | Zika virus | CDC","26",46,"",""
"2405","What You Need to Know | Zika virus | CDC","27",42,"",""
"2406","What You Need to Know | Zika virus | CDC","31",40,"",""
"2407","What You Need to Know | Zika virus | CDC","30",37,"",""
"2408","What You Need to Know | Zika virus | CDC","32",33,"",""
"2409","What You Need to Know | Zika virus | CDC","29",30,"",""
"2410","What You Need to Know | Zika virus | CDC","37",23,"",""
"2411","What You Need to Know | Zika virus | CDC","44",20,"",""
"2412","What You Need to Know | Zika virus | CDC","36",20,"",""
"2413","What You Need to Know | Zika virus | CDC","34",20,"",""
"2414","What You Need to Know | Zika virus | CDC","33",19,"",""
"2415","What You Need to Know | Zika virus | CDC","38",18,"",""
"2416","What You Need to Know | Zika virus | CDC","45",16,"",""
"2417","What You Need to Know | Zika virus | CDC","43",16,"",""
"2418","What You Need to Know | Zika virus | CDC","39",16,"",""
"2419","What You Need to Know | Zika virus | CDC","35",11,"",""
"2420","What You Need to Know | Zika virus | CDC","59",10,"",""
"2421","What You Need to Know | Zika virus | CDC","40",10,"",""
"2422","What You Need to Know | Zika virus | CDC","56",9,"",""
"2423","What You Need to Know | Zika virus | CDC","41",9,"",""
"2424","What You Need to Know | Zika virus | CDC","42",8,"",""
"2425","What You Need to Know | Zika virus | CDC","83",6,"",""
"2426","What You Need to Know | Zika virus | CDC","49",6,"",""
"2427","What You Need to Know | Zika virus | CDC","46",6,"",""
"2428","What You Need to Know | Zika virus | CDC","57",5,"",""
"2429","What You Need to Know | Zika virus | CDC","55",5,"",""
"2430","What You Need to Know | Zika virus | CDC","53",5,"",""
"2431","What You Need to Know | Zika virus | CDC","51",5,"",""
"2432","What You Need to Know | Zika virus | CDC","50",5,"",""
"2433","What You Need to Know | Zika virus | CDC","48",5,"",""
"2434","What You Need to Know | Zika virus | CDC","76",4,"",""
"2435","What You Need to Know | Zika virus | CDC","70",4,"",""
"2436","What You Need to Know | Zika virus | CDC","66",4,"",""
"2437","What You Need to Know | Zika virus | CDC","61",4,"",""
"2438","What You Need to Know | Zika virus | CDC","58",4,"",""
"2439","What You Need to Know | Zika virus | CDC","52",4,"",""
"2440","What You Need to Know | Zika virus | CDC","47",4,"",""
"2441","What You Need to Know | Zika virus | CDC","89",3,"",""
"2442","What You Need to Know | Zika virus | CDC","86",3,"",""
"2443","What You Need to Know | Zika virus | CDC","117",2,"",""
"2444","What You Need to Know | Zika virus | CDC","116",2,"",""
"2445","What You Need to Know | Zika virus | CDC","110",2,"",""
"2446","What You Need to Know | Zika virus | CDC","102",2,"",""
"2447","What You Need to Know | Zika virus | CDC","92",2,"",""
"2448","What You Need to Know | Zika virus | CDC","62",2,"",""
"2449","What You Need to Know | Zika virus | CDC","60",2,"",""
"2450","What You Need to Know | Zika virus | CDC","1434",1,"",""
"2451","What You Need to Know | Zika virus | CDC","331",1,"",""
"2452","What You Need to Know | Zika virus | CDC","203",1,"",""
"2453","What You Need to Know | Zika virus | CDC","192",1,"",""
"2454","What You Need to Know | Zika virus | CDC","134",1,"",""
"2455","What You Need to Know | Zika virus | CDC","131",1,"",""
"2456","What You Need to Know | Zika virus | CDC","105",1,"",""
"2457","What You Need to Know | Zika virus | CDC","98",1,"",""
"2458","What You Need to Know | Zika virus | CDC","97",1,"",""
"2459","What You Need to Know | Zika virus | CDC","96",1,"",""
"2460","What You Need to Know | Zika virus | CDC","93",1,"",""
"2461","What You Need to Know | Zika virus | CDC","82",1,"",""
"2462","What You Need to Know | Zika virus | CDC","80",1,"",""
"2463","What You Need to Know | Zika virus | CDC","69",1,"",""
"2464","What You Need to Know | Zika virus | CDC","68",1,"",""
"2465","What You Need to Know | Zika virus | CDC","67",1,"",""
"2466","What You Need to Know | Zika virus | CDC","65",1,"",""
"2467","What You Need to Know | Zika virus | CDC","54",1,"",""
"2468","Protect Yourself & Others | Zika virus | CDC","1",5751,"",""
"2469","Protect Yourself & Others | Zika virus | CDC","3",1085,"",""
"2470","Protect Yourself & Others | Zika virus | CDC","2",1074,"",""
"2471","Protect Yourself & Others | Zika virus | CDC","5",882,"",""
"2472","Protect Yourself & Others | Zika virus | CDC","4",829,"",""
"2473","Protect Yourself & Others | Zika virus | CDC","6",703,"",""
"2474","Protect Yourself & Others | Zika virus | CDC","7",670,"",""
"2475","Protect Yourself & Others | Zika virus | CDC","9",500,"",""
"2476","Protect Yourself & Others | Zika virus | CDC","8",455,"",""
"2477","Protect Yourself & Others | Zika virus | CDC","11",388,"",""
"2478","Protect Yourself & Others | Zika virus | CDC","10",385,"",""
"2479","Protect Yourself & Others | Zika virus | CDC","12",304,"",""
"2480","Protect Yourself & Others | Zika virus | CDC","13",254,"",""
"2481","Protect Yourself & Others | Zika virus | CDC","14",228,"",""
"2482","Protect Yourself & Others | Zika virus | CDC","15",212,"",""
"2483","Protect Yourself & Others | Zika virus | CDC","17",170,"",""
"2484","Protect Yourself & Others | Zika virus | CDC","16",153,"",""
"2485","Protect Yourself & Others | Zika virus | CDC","19",128,"",""
"2486","Protect Yourself & Others | Zika virus | CDC","18",115,"",""
"2487","Protect Yourself & Others | Zika virus | CDC","20",103,"",""
"2488","Protect Yourself & Others | Zika virus | CDC","21",95,"",""
"2489","Protect Yourself & Others | Zika virus | CDC","22",88,"",""
"2490","Protect Yourself & Others | Zika virus | CDC","23",64,"",""
"2491","Protect Yourself & Others | Zika virus | CDC","27",58,"",""
"2492","Protect Yourself & Others | Zika virus | CDC","28",54,"",""
"2493","Protect Yourself & Others | Zika virus | CDC","26",54,"",""
"2494","Protect Yourself & Others | Zika virus | CDC","25",49,"",""
"2495","Protect Yourself & Others | Zika virus | CDC","24",45,"",""
"2496","Protect Yourself & Others | Zika virus | CDC","29",41,"",""
"2497","Protect Yourself & Others | Zika virus | CDC","30",33,"",""
"2498","Protect Yourself & Others | Zika virus | CDC","31",29,"",""
"2499","Protect Yourself & Others | Zika virus | CDC","32",23,"",""
"2500","Protect Yourself & Others | Zika virus | CDC","40",20,"",""
"2501","Protect Yourself & Others | Zika virus | CDC","35",18,"",""
"2502","Protect Yourself & Others | Zika virus | CDC","37",17,"",""
"2503","Protect Yourself & Others | Zika virus | CDC","34",17,"",""
"2504","Protect Yourself & Others | Zika virus | CDC","114",16,"",""
"2505","Protect Yourself & Others | Zika virus | CDC","46",15,"",""
