"","page","geostate","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","New York (United States)",39006,"",""
"4226","Advice for people living in or traveling to South Florida | Zika virus | CDC","Tel-Aviv (Israel)",164,"",""
"4227","Advice for people living in or traveling to South Florida | Zika virus | CDC","South Dakota (United States)",148,"",""
"4228","Advice for people living in or traveling to South Florida | Zika virus | CDC","Mississippi (United States)",146,"",""
"4229","Advice for people living in or traveling to South Florida | Zika virus | CDC","Hessen (Germany)",144,"",""
"4230","Advice for people living in or traveling to South Florida | Zika virus | CDC","Noord-Holland (Netherlands)",140,"",""
"4231","Advice for people living in or traveling to South Florida | Zika virus | CDC","Oslo (Norway)",131,"",""
"4232","Advice for people living in or traveling to South Florida | Zika virus | CDC","Hertfordshire (United Kingdom)",130,"",""
"4233","Advice for people living in or traveling to South Florida | Zika virus | CDC","Kent (United Kingdom)",129,"",""
"4234","Advice for people living in or traveling to South Florida | Zika virus | CDC","New Mexico (United States)",126,"",""
"4235","Advice for people living in or traveling to South Florida | Zika virus | CDC","Surrey (United Kingdom)",125,"",""
"4236","Advice for people living in or traveling to South Florida | Zika virus | CDC","West Virginia (United States)",124,"",""
"4237","Advice for people living in or traveling to South Florida | Zika virus | CDC","Vastra Gotalands Lan (Sweden)",124,"",""
"4238","Advice for people living in or traveling to South Florida | Zika virus | CDC","Essex (United Kingdom)",120,"",""
"4239","Advice for people living in or traveling to South Florida | Zika virus | CDC","Zuid-Holland (Netherlands)",119,"",""
"4240","Advice for people living in or traveling to South Florida | Zika virus | CDC","Midtjylland (Denmark)",116,"",""
"4241","Advice for people living in or traveling to South Florida | Zika virus | CDC","New South Wales (Australia)",115,"",""
"4242","Advice for people living in or traveling to South Florida | Zika virus | CDC","Hawaii (United States)",112,"",""
"4243","Advice for people living in or traveling to South Florida | Zika virus | CDC","Birmingham (United Kingdom)",110,"",""
"4244","Advice for people living in or traveling to South Florida | Zika virus | CDC","Montana (United States)",110,"",""
"4245","Advice for people living in or traveling to South Florida | Zika virus | CDC","Manila (Philippines)",107,"",""
"4246","Advice for people living in or traveling to South Florida | Zika virus | CDC","Prince Edward Island (Canada)",106,"",""
"4247","Advice for people living in or traveling to South Florida | Zika virus | CDC","Region Metro De Santiago (Chile)",103,"",""
"4248","Advice for people living in or traveling to South Florida | Zika virus | CDC","Idaho (United States)",101,"",""
"4249","Advice for people living in or traveling to South Florida | Zika virus | CDC","Baden-Wurttemberg (Germany)",95,"",""
"4250","Advice for people living in or traveling to South Florida | Zika virus | CDC","Victoria (Australia)",83,"",""
"4251","Advice for people living in or traveling to South Florida | Zika virus | CDC","Wien (Austria)",82,"",""
"4252","Advice for people living in or traveling to South Florida | Zika virus | CDC","Skane Lan (Sweden)",82,"",""
"4253","Advice for people living in or traveling to South Florida | Zika virus | CDC","Sao Paulo (Brazil)",72,"",""
"4254","Advice for people living in or traveling to South Florida | Zika virus | CDC","Bristol (United Kingdom)",71,"",""
"4255","Advice for people living in or traveling to South Florida | Zika virus | CDC","Kensington and Chelsea (United Kingdom)",70,"",""
"4256","Advice for people living in or traveling to South Florida | Zika virus | CDC","Leeds (United Kingdom)",68,"",""
"4257","Advice for people living in or traveling to South Florida | Zika virus | CDC","Islington (United Kingdom)",67,"",""
"4258","Advice for people living in or traveling to South Florida | Zika virus | CDC","Queensland (Australia)",66,"",""
"4259","Advice for people living in or traveling to South Florida | Zika virus | CDC","Wyoming (United States)",66,"",""
"4260","Advice for people living in or traveling to South Florida | Zika virus | CDC","Hammersmith and Fulham (United Kingdom)",64,"",""
"4261","Advice for people living in or traveling to South Florida | Zika virus | CDC","Istanbul (Turkey)",64,"",""
"4262","Advice for people living in or traveling to South Florida | Zika virus | CDC","Capital Federal (Argentina)",63,"",""
"4263","Advice for people living in or traveling to South Florida | Zika virus | CDC","Bruxelles-Capitale (Belgium)",62,"",""
"4264","Advice for people living in or traveling to South Florida | Zika virus | CDC","Berlin (Germany)",62,"",""
"4265","Advice for people living in or traveling to South Florida | Zika virus | CDC","Glasgow City (United Kingdom)",62,"",""
"4266","Advice for people living in or traveling to South Florida | Zika virus | CDC","Hampshire (United Kingdom)",61,"",""
"4267","Advice for people living in or traveling to South Florida | Zika virus | CDC","Southwark (United Kingdom)",58,"",""
"4268","Advice for people living in or traveling to South Florida | Zika virus | CDC","Distrito Federal (Mexico)",57,"",""
"4269","Advice for people living in or traveling to South Florida | Zika virus | CDC","Alaska (United States)",57,"",""
"4270","Advice for people living in or traveling to South Florida | Zika virus | CDC","Hamburg (Germany)",56,"",""
"4271","Advice for people living in or traveling to South Florida | Zika virus | CDC","Buenos Aires (Argentina)",55,"",""
"4272","Advice for people living in or traveling to South Florida | Zika virus | CDC","Oxfordshire (United Kingdom)",53,"",""
"4273","Advice for people living in or traveling to South Florida | Zika virus | CDC","Hong Kong (Hong Kong)",53,"",""
"4274","Advice for people living in or traveling to South Florida | Zika virus | CDC","Edinburgh (United Kingdom)",53,"",""
"4275","Advice for people living in or traveling to South Florida | Zika virus | CDC","Lagos (Nigeria)",53,"",""
"4276","Advice for people living in or traveling to South Florida | Zika virus | CDC","Tower Hamlets (United Kingdom)",51,"",""
"4277","Advice for people living in or traveling to South Florida | Zika virus | CDC","Barnet (United Kingdom)",51,"",""
"4278","Advice for people living in or traveling to South Florida | Zika virus | CDC","Cambridgeshire (United Kingdom)",50,"",""
"4279","Advice for people living in or traveling to South Florida | Zika virus | CDC","Liverpool (United Kingdom)",50,"",""
"4280","Advice for people living in or traveling to South Florida | Zika virus | CDC","Wandsworth (United Kingdom)",49,"",""
"4281","Advice for people living in or traveling to South Florida | Zika virus | CDC","Hamerkaz (Israel)",49,"",""
"4282","Advice for people living in or traveling to South Florida | Zika virus | CDC","Milano (Italy)",48,"",""
"4283","Advice for people living in or traveling to South Florida | Zika virus | CDC","Distrito Capital (Colombia)",48,"",""
"4284","Advice for people living in or traveling to South Florida | Zika virus | CDC","West Sussex (United Kingdom)",47,"",""
"4285","Advice for people living in or traveling to South Florida | Zika virus | CDC","Gauteng (South Africa)",47,"",""
"4286","Advice for people living in or traveling to South Florida | Zika virus | CDC","Belfast (United Kingdom)",47,"",""
"4287","Advice for people living in or traveling to South Florida | Zika virus | CDC","Manchester (United Kingdom)",47,"",""
"4288","Advice for people living in or traveling to South Florida | Zika virus | CDC","Bern (Switzerland)",46,"",""
"4289","Advice for people living in or traveling to South Florida | Zika virus | CDC","Niedersachsen (Germany)",46,"",""
"4290","Advice for people living in or traveling to South Florida | Zika virus | CDC","Syddanmark (Denmark)",46,"",""
"4291","Advice for people living in or traveling to South Florida | Zika virus | CDC","Praha (Czech Republic)",46,"",""
"4292","Advice for people living in or traveling to South Florida | Zika virus | CDC","Lancashire (United Kingdom)",46,"",""
"4293","Advice for people living in or traveling to South Florida | Zika virus | CDC","Antwerpen (Belgium)",46,"",""
"4294","Advice for people living in or traveling to South Florida | Zika virus | CDC","Brent (United Kingdom)",45,"",""
"4295","Advice for people living in or traveling to South Florida | Zika virus | CDC","Noord-Brabant (Netherlands)",45,"",""
"4296","Advice for people living in or traveling to South Florida | Zika virus | CDC","Nottingham (United Kingdom)",44,"",""
"4297","Advice for people living in or traveling to South Florida | Zika virus | CDC","Camden (United Kingdom)",43,"",""
"4298","Advice for people living in or traveling to South Florida | Zika virus | CDC","Utrecht (Netherlands)",42,"",""
"4299","Advice for people living in or traveling to South Florida | Zika virus | CDC","Bermuda (Bermuda)",41,"",""
"4300","Advice for people living in or traveling to South Florida | Zika virus | CDC","Maharashtra (India)",41,"",""
"4301","Advice for people living in or traveling to South Florida | Zika virus | CDC","Croydon (United Kingdom)",39,"",""
"4302","Advice for people living in or traveling to South Florida | Zika virus | CDC","Delhi (India)",39,"",""
"4303","Advice for people living in or traveling to South Florida | Zika virus | CDC","Norfolk (United Kingdom)",38,"",""
"4304","Advice for people living in or traveling to South Florida | Zika virus | CDC","Hounslow (United Kingdom)",37,"",""
"4305","Advice for people living in or traveling to South Florida | Zika virus | CDC","Roma (Italy)",36,"",""
"4306","Advice for people living in or traveling to South Florida | Zika virus | CDC","Bromley (United Kingdom)",35,"",""
"4307","Advice for people living in or traveling to South Florida | Zika virus | CDC","Suffolk (United Kingdom)",35,"",""
"4308","Advice for people living in or traveling to South Florida | Zika virus | CDC","Dubayy (United Arab Emirates)",35,"",""
"4309","Advice for people living in or traveling to South Florida | Zika virus | CDC","Tamil Nadu (India)",35,"",""
"4310","Advice for people living in or traveling to South Florida | Zika virus | CDC","Selangor (Malaysia)",35,"",""
"4311","Advice for people living in or traveling to South Florida | Zika virus | CDC","Haringey (United Kingdom)",35,"",""
"4312","Advice for people living in or traveling to South Florida | Zika virus | CDC","Reading (United Kingdom)",35,"",""
"4313","Advice for people living in or traveling to South Florida | Zika virus | CDC","Metropolitana De Lima (Peru)",35,"",""
"4314","Advice for people living in or traveling to South Florida | Zika virus | CDC","Akershus (Norway)",34,"",""
"4315","Advice for people living in or traveling to South Florida | Zika virus | CDC","Budapest (Hungary)",34,"",""
"4316","Advice for people living in or traveling to South Florida | Zika virus | CDC","Puerto Rico (Puerto Rico)",34,"",""
"4317","Advice for people living in or traveling to South Florida | Zika virus | CDC","Rheinland-Pfalz (Germany)",34,"",""
"4318","Advice for people living in or traveling to South Florida | Zika virus | CDC","Kingston Upon Thames (United Kingdom)",33,"",""
"4319","Advice for people living in or traveling to South Florida | Zika virus | CDC","Sjaelland (Denmark)",33,"",""
"4320","Advice for people living in or traveling to South Florida | Zika virus | CDC","Tokyo (Japan)",33,"",""
"4321","Advice for people living in or traveling to South Florida | Zika virus | CDC","Rogaland (Norway)",33,"",""
"4322","Advice for people living in or traveling to South Florida | Zika virus | CDC","Auckland (New Zealand)",32,"",""
"4323","Advice for people living in or traveling to South Florida | Zika virus | CDC","Waltham Forest (United Kingdom)",32,"",""
"4324","Advice for people living in or traveling to South Florida | Zika virus | CDC","Nordjylland (Denmark)",32,"",""
"4325","Advice for people living in or traveling to South Florida | Zika virus | CDC","Unspecified",32,"",""
"4326","Advice for people living in or traveling to South Florida | Zika virus | CDC","Vaud (Switzerland)",31,"",""
"4327","Advice for people living in or traveling to South Florida | Zika virus | CDC","Ealing (United Kingdom)",31,"",""
"4328","Advice for people living in or traveling to South Florida | Zika virus | CDC","Northamptonshire (United Kingdom)",31,"",""
"4329","Advice for people living in or traveling to South Florida | Zika virus | CDC","Madrid (Spain)",31,"",""
"4330","Advice for people living in or traveling to South Florida | Zika virus | CDC","Moskva (Russian Federation)",31,"",""
"4331","Advice for people living in or traveling to South Florida | Zika virus | CDC","Gloucestershire (United Kingdom)",30,"",""
"4332","Advice for people living in or traveling to South Florida | Zika virus | CDC","Geneve (Switzerland)",30,"",""
"4333","Advice for people living in or traveling to South Florida | Zika virus | CDC","Lewisham (United Kingdom)",30,"",""
"4334","Advice for people living in or traveling to South Florida | Zika virus | CDC","Gelderland (Netherlands)",29,"",""
"4335","Advice for people living in or traveling to South Florida | Zika virus | CDC","Westminster (United Kingdom)",29,"",""
"4336","Advice for people living in or traveling to South Florida | Zika virus | CDC","Wilayah Persekutuan Kuala Lump (Malaysia)",29,"",""
"4337","Advice for people living in or traveling to South Florida | Zika virus | CDC","Yerushalayim Al Quds (Israel)",29,"",""
"4338","Advice for people living in or traveling to South Florida | Zika virus | CDC","Worcestershire (United Kingdom)",29,"",""
"4339","Advice for people living in or traveling to South Florida | Zika virus | CDC","Central (Singapore)",28,"",""
"4340","Advice for people living in or traveling to South Florida | Zika virus | CDC","Somerset (United Kingdom)",28,"",""
"4341","Advice for people living in or traveling to South Florida | Zika virus | CDC","Dhaka (Bangladesh)",28,"",""
"4342","Advice for people living in or traveling to South Florida | Zika virus | CDC","Leicester (United Kingdom)",27,"",""
"4343","Advice for people living in or traveling to South Florida | Zika virus | CDC","Harjumaa (Estonia)",27,"",""
"4344","Advice for people living in or traveling to South Florida | Zika virus | CDC","Luzern (Switzerland)",27,"",""
"4345","Advice for people living in or traveling to South Florida | Zika virus | CDC","Newham (United Kingdom)",27,"",""
"4346","Advice for people living in or traveling to South Florida | Zika virus | CDC","Barking and Dagenham (United Kingdom)",27,"",""
"4347","Advice for people living in or traveling to South Florida | Zika virus | CDC","Southampton (United Kingdom)",27,"",""
"4348","Advice for people living in or traveling to South Florida | Zika virus | CDC","Derbyshire (United Kingdom)",27,"",""
"4349","Advice for people living in or traveling to South Florida | Zika virus | CDC","Ostergotlands Lan (Sweden)",27,"",""
"4350","Advice for people living in or traveling to South Florida | Zika virus | CDC","Devon (United Kingdom)",27,"",""
"4351","Advice for people living in or traveling to South Florida | Zika virus | CDC","Hillingdon (United Kingdom)",26,"",""
"4352","Advice for people living in or traveling to South Florida | Zika virus | CDC","Milton Keynes (United Kingdom)",26,"",""
"4353","Advice for people living in or traveling to South Florida | Zika virus | CDC","Richmond Upon Thames (United Kingdom)",26,"",""
"4354","Advice for people living in or traveling to South Florida | Zika virus | CDC","Krung Thep Maha Nakhon Bangkok (Thailand)",25,"",""
"4355","Advice for people living in or traveling to South Florida | Zika virus | CDC","AOL (United States)",25,"",""
"4356","Advice for people living in or traveling to South Florida | Zika virus | CDC","Buckinghamshire (United Kingdom)",25,"",""
"4357","Advice for people living in or traveling to South Florida | Zika virus | CDC","Hordaland (Norway)",24,"",""
"4358","Advice for people living in or traveling to South Florida | Zika virus | CDC","Western Cape (South Africa)",24,"",""
"4359","Advice for people living in or traveling to South Florida | Zika virus | CDC","Barcelona (Spain)",24,"",""
"4360","Advice for people living in or traveling to South Florida | Zika virus | CDC","East Sussex (United Kingdom)",24,"",""
"4361","Advice for people living in or traveling to South Florida | Zika virus | CDC","Sheffield (United Kingdom)",24,"",""
"4362","Advice for people living in or traveling to South Florida | Zika virus | CDC","Luxembourg (Luxembourg)",24,"",""
"4363","Advice for people living in or traveling to South Florida | Zika virus | CDC","Wolverhampton (United Kingdom)",23,"",""
"4364","Advice for people living in or traveling to South Florida | Zika virus | CDC","Nairobi (Kenya)",23,"",""
"4365","Advice for people living in or traveling to South Florida | Zika virus | CDC","Seoul Teugbyeol-SI (South Korea)",22,"",""
"4366","Advice for people living in or traveling to South Florida | Zika virus | CDC","Cheshire East (United Kingdom)",22,"",""
"4367","Advice for people living in or traveling to South Florida | Zika virus | CDC","Bradford (United Kingdom)",22,"",""
"4368","Advice for people living in or traveling to South Florida | Zika virus | CDC","Distrito Nacional (Dominican Republic)",21,"",""
"4369","Advice for people living in or traveling to South Florida | Zika virus | CDC","Newcastle Upon Tyne (United Kingdom)",21,"",""
"4370","Advice for people living in or traveling to South Florida | Zika virus | CDC","Oost-Vlaanderen (Belgium)",21,"",""
"4371","Advice for people living in or traveling to South Florida | Zika virus | CDC","Satakunta (Finland)",21,"",""
"4372","Advice for people living in or traveling to South Florida | Zika virus | CDC","Brighton and Hove (United Kingdom)",20,"",""
"4373","Advice for people living in or traveling to South Florida | Zika virus | CDC","Limburg (Netherlands)",20,"",""
"4374","Advice for people living in or traveling to South Florida | Zika virus | CDC","Hallands Lan (Sweden)",20,"",""
"4375","Advice for people living in or traveling to South Florida | Zika virus | CDC","Quintana Roo (Mexico)",20,"",""
"4376","Advice for people living in or traveling to South Florida | Zika virus | CDC","Lisboa (Portugal)",20,"",""
"4377","Advice for people living in or traveling to South Florida | Zika virus | CDC","Abu Zaby (United Arab Emirates)",20,"",""
"4378","Advice for people living in or traveling to South Florida | Zika virus | CDC","Sandwell (United Kingdom)",19,"",""
"4379","Advice for people living in or traveling to South Florida | Zika virus | CDC","Stockport (United Kingdom)",19,"",""
"4380","Advice for people living in or traveling to South Florida | Zika virus | CDC","Lincolnshire (United Kingdom)",19,"",""
