"","page","mobiledevicename","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","::unspecified::",189816,"",""
"7395","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sony Xperia E5 (F3311)",2,"",""
"7396","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy J7 (SM-J700M)",2,"",""
"7397","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S6 Edge Plus (SM-G928C)",2,"",""
"7398","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab 10.1 (GT-P7500)",2,"",""
"7399","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab A (SM-T280)",2,"",""
"7400","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Mega (GT-I9205)",2,"",""
"7401","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S6 (SM-G920R6)",2,"",""
"7402","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Note 2 (SGH-I317M)",2,"",""
"7403","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Asus P008",2,"",""
"7404","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab 10.1 (GT-P7510)",2,"",""
"7405","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG L Bello (D331)",2,"",""
"7406","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG G2 Mini (D620)",2,"",""
"7407","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Coolpad 3622A",2,"",""
"7408","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Asus MeMO Pad HD7 (ME173X (K00U))",2,"",""
"7409","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab A (SM-T555)",2,"",""
"7410","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sprint G2 (LS980)",2,"",""
"7411","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Acer Iconia A1-810",2,"",""
"7412","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Grand Max (SM-G720N0)",2,"",""
"7413","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy J7 (SM-J700H)",2,"",""
"7414","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","HTC Desire Eye",2,"",""
"7415","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Verizon One M8 for Windows (6995 LVW)",2,"",""
"7416","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Google Galaxy Nexus (GT-I9250)",2,"",""
"7417","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Verizon Desire 626",2,"",""
"7418","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Huawei GT3 (NMO-L31)",2,"",""
"7419","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab 3 Lite 7.0 3G (SM-T111)",2,"",""
"7420","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG G Vista (VS880PP)",2,"",""
"7421","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Blu Star 4.5",2,"",""
"7422","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab S2 9.7 LTE (SM-T817W)",2,"",""
"7423","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab 10.1 (GT-P7500R)",2,"",""
"7424","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy J7 (2016) (SM-J710F)",2,"",""
"7425","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Cricket Galaxy S5 (SM-G900AZ)",2,"",""
"7426","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Ulefone Power",2,"",""
"7427","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Note 5 (SM-N920L)",2,"",""
"7428","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","TracFone Rebel LTE (L44VL)",2,"",""
"7429","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Grand Prime Value Edition (SM-G531H)",2,"",""
"7430","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sony Xperia M2 (D2303)",2,"",""
"7431","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sony Xperia Z1 (C6906)",2,"",""
"7432","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung SM-S820L",2,"",""
"7433","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Huawei P8 Lite (ALE-L02)",2,"",""
"7434","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy A3 (SM-A300Y)",2,"",""
"7435","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Motorola Moto E3 Power (XT1706)",2,"",""
"7436","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Huawei Y6II (CAM-L21)",2,"",""
"7437","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG V10 (H901)",2,"",""
"7438","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","bq Aquaris U Plus",2,"",""
"7439","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sprint G Pad F 7.0 (LK430)",2,"",""
"7440","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","AT&T V20 (H915)",2,"",""
"7441","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Archos Diamond S",2,"",""
"7442","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S5 (SM-G900L)",2,"",""
"7443","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG Bello II (X150)",2,"",""
"7444","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Xiaomi Redmi 3",2,"",""
"7445","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Core 2 Duos (SM-G355M)",2,"",""
"7446","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Acer Iconia One 10 (B3-A20)",2,"",""
"7447","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","HTC One M8S (M8Sd)",2,"",""
"7448","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Lenovo Yoga Tablet (2-830F)",2,"",""
"7449","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S4 Mini (SCH-R890)",2,"",""
"7450","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Wiko Highway",2,"",""
"7451","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab 2 7.0 (GT-P3113)",2,"",""
"7452","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Motorola Moto G (XT1045)",2,"",""
"7453","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG G3 Stylus (D690)",2,"",""
"7454","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Google Nexus 10",2,"",""
"7455","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","HTC Desire 320",2,"",""
"7456","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sprint Galaxy S4 Mini TD-LTE (SPH-L520)",2,"",""
"7457","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab 4 7.0 (SM-T230)",2,"",""
"7458","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Verizon Optimus Zone 3 (VS425PP)",2,"",""
"7459","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Huawei Honor 5C (NEM-L51)",2,"",""
"7460","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","T-Mobile Galaxy S3 (SGH-T999V)",2,"",""
"7461","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy On5 LTE (SM-G550T1)",2,"",""
"7462","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Kyocera Hydro Icon (C6730)",1,"",""
"7463","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Huawei Ascend Y330 (Y330-U01)",1,"",""
"7464","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LeEco Le S3 (Le X522)",1,"",""
"7465","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Asus ZenFone 2 Laser (ZE550KL) (Z00LD)",1,"",""
"7466","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","ZTE K88",1,"",""
"7467","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Blu Advance 4.0 L2",1,"",""
"7468","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Huawei Ascend Y550 (Y550-L01)",1,"",""
"7469","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy J5 (SM-J500F)",1,"",""
"7470","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG G Pad F (V496)",1,"",""
"7471","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab 4 8.0 LTE (SM-T335)",1,"",""
"7472","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG K7 (AS330)",1,"",""
"7473","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Kyocera Hydro View (C6742)",1,"",""
"7474","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","RCA Tablets RCT6873W42",1,"",""
"7475","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LeEco Le Max 2 (Le X820)",1,"",""
"7476","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Huawei Ascend Y360 (Y360-U03)",1,"",""
"7477","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG Optimus F3 (LS720)",1,"",""
"7478","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Blu Studio 5.3S (Studio 5.0S)",1,"",""
"7479","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Straight Talk Treasure 4G LTE (L52VL)",1,"",""
"7480","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S4 (SHV-E300S)",1,"",""
"7481","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy J7 Prime (SM-G610F)",1,"",""
"7482","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sony Xperia E4 (E2104)",1,"",""
"7483","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy J2 (SM-J200M)",1,"",""
"7484","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Blu Vivo XL",1,"",""
"7485","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","T-Mobile Galaxy Note 7 (SM-N930T)",1,"",""
"7486","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","AT&T One M8 for Windows (0P6B180)",1,"",""
"7487","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Lenovo A7600-F",1,"",""
"7488","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy J2 (SM-J200GU)",1,"",""
"7489","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Digicel DL900",1,"",""
"7490","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Grand Prime (SM-G530FZ)",1,"",""
"7491","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sony Xperia X Performance (F8131)",1,"",""
"7492","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG G4 (H818)",1,"",""
"7493","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG Escape 2 (H443)",1,"",""
"7494","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","HTC 10 (2PS6200)",1,"",""
"7495","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Kyocera DuraForce (E6762)",1,"",""
"7496","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Walton Primo S3 Mini",1,"",""
"7497","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S4 LTE (SCH-i545L)",1,"",""
"7498","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab4 7.0 3G (SM-T231)",1,"",""
"7499","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","AT&T Galaxy Note 2 (SGH-I317)",1,"",""
"7500","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Core II (SM-G355H)",1,"",""
"7501","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Lenovo Tab 2 (A7-10F)",1,"",""
"7502","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Grand Neo (GT-I9060I)",1,"",""
"7503","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sony Ericsson Xperia (ST18i)",1,"",""
"7504","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","HTC Desire 526G Plus",1,"",""
"7505","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Tolino Tab 8",1,"",""
"7506","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Huawei Honor G Play (CHC-U01)",1,"",""
"7507","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Straight Talk SM-S907VL",1,"",""
"7508","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Motorola X Force (XT1580)",1,"",""
"7509","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy View (SM-T670)",1,"",""
"7510","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG Power (L22C)",1,"",""
"7511","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Cricket Galaxy Sol (SM-J321AZ)",1,"",""
"7512","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Blu Energy X 2",1,"",""
"7513","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Nintendo Wii U",1,"",""
"7514","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","ZTE Blade B112",1,"",""
"7515","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S3 Mini (SM-G730W8)",1,"",""
"7516","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Google Nexus 9",1,"",""
"7517","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","ZTE Grand X Plus (Z826)",1,"",""
"7518","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Blu Dash L",1,"",""
"7519","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Micromax Bolt A47",1,"",""
"7520","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG G Pad 7.0 (V410)",1,"",""
"7521","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Light (SGH-T399N)",1,"",""
"7522","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Lenovo Yoga Tab3 Pro 10 (YT3-X90L)",1,"",""
"7523","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","AT&T Galaxy Express (SGH-I437)",1,"",""
"7524","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sony Xperia Z (C6603)",1,"",""
"7525","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LeEco Le Pro3 (LEX727)",1,"",""
"7526","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Lenovo Tab S8 (S8-50L)",1,"",""
"7527","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S2 (GT-I9100)",1,"",""
"7528","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy A5 (SM-A510M)",1,"",""
"7529","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","ZTE Maven (Z812)",1,"",""
"7530","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Alcatel One Touch Pop 3 (5) (5015A)",1,"",""
"7531","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Note 3 Neo LTE (SM-N7505)",1,"",""
"7532","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Lenovo Vibe K5 Plus (A6020a46)",1,"",""
"7533","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","G-tab P700",1,"",""
"7534","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Alcatel Pop 4+ (5056X)",1,"",""
"7535","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab S (SM-T805W)",1,"",""
"7536","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","BlackBerry 9720",1,"",""
"7537","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG Optimus G Pro (E980)",1,"",""
"7538","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","HTC Desire 612",1,"",""
"7539","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sony Xperia Z3 Tablet (SGP611)",1,"",""
"7540","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sony Xperia C (C2305)",1,"",""
"7541","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Vodafone Smart Prime 7 (VFD 600)",1,"",""
"7542","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Ace (GT-S5830)",1,"",""
"7543","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Motorola Moto X 2nd Gen (XT1092)",1,"",""
